iter	Logloss
0	0.6852590698
1	0.6777569478
2	0.6691190117
3	0.6623599028
4	0.653576654
5	0.6465484205
6	0.6397999747
7	0.6324901365
8	0.6263520602
9	0.6207599037
10	0.6152222091
11	0.6063416546
12	0.6004926567
13	0.5954068259
14	0.5897780296
15	0.5846207322
16	0.5799494382
17	0.5747674201
18	0.5675504199
19	0.5626182809
20	0.5577963713
21	0.5508615183
22	0.5451939822
23	0.5408653742
24	0.5352790771
25	0.5311637236
26	0.526927009
27	0.5232426829
28	0.5192572399
29	0.5153540551
30	0.5102023552
31	0.5068168371
32	0.5037026176
33	0.4998854274
34	0.4967477628
35	0.4929267119
36	0.4898705184
37	0.4849134047
38	0.4817083602
39	0.47888319
40	0.4760573824
41	0.4718721223
42	0.4684547115
43	0.4646624863
44	0.4605504277
45	0.4582402939
46	0.4553622732
47	0.4522379228
48	0.4502397881
49	0.4470220384
50	0.444950997
51	0.4422832271
52	0.4398626941
53	0.4375771094
54	0.4352135412
55	0.4335018907
56	0.4313219157
57	0.4297973019
58	0.4281181954
59	0.4257700087
60	0.4233897989
61	0.4213144576
62	0.4193166707
63	0.4171425365
64	0.4147532243
65	0.4123028514
66	0.4095959548
67	0.4074769898
68	0.4059441281
69	0.4045293167
70	0.4025192967
71	0.4004771531
72	0.3981520028
73	0.3965816717
74	0.3945042947
75	0.3927299107
76	0.3914679884
77	0.3897266435
78	0.3882469038
79	0.3867024121
80	0.3853745777
81	0.3833680635
82	0.3820113351
83	0.380381945
84	0.3795792945
85	0.3785720386
86	0.3772350267
87	0.3755534454
88	0.374239308
89	0.3731597557
90	0.3721167341
91	0.3708632345
92	0.3696465304
93	0.3678632758
94	0.3669765704
95	0.3654736273
96	0.364182638
97	0.3629382954
98	0.3612801608
99	0.3599662267
100	0.3589833108
101	0.3575023999
102	0.356243066
103	0.3549719001
104	0.3532599479
105	0.3517533893
106	0.3506090903
107	0.3493112471
108	0.3477536158
109	0.3465474967
110	0.3448786744
111	0.3440741064
112	0.3426164814
113	0.3410908097
114	0.3400900882
115	0.3394372532
116	0.3386334225
117	0.3377146375
118	0.3365185222
119	0.3356436393
120	0.3345320801
121	0.3335137271
122	0.3323264573
123	0.3309722701
124	0.3301945239
125	0.3290262109
126	0.3280917958
127	0.3271853714
128	0.3258900738
129	0.3250822039
130	0.3241948173
131	0.3230772251
132	0.3222439993
133	0.3217121412
134	0.3210666423
135	0.3202880705
136	0.3196731201
137	0.3185731431
138	0.3178022998
139	0.3171844881
140	0.3164205515
141	0.3158210827
142	0.3150409593
143	0.3140223255
144	0.3135348451
145	0.3128746151
146	0.3121587189
147	0.311362731
148	0.3109297013
149	0.3104329558
150	0.3097792244
151	0.308999996
152	0.3079624214
153	0.3070083652
154	0.3065564733
155	0.3058400306
156	0.3049394197
157	0.3044539997
158	0.3034602792
159	0.3026173402
160	0.3023852863
161	0.3016676152
162	0.300732252
163	0.3000506515
164	0.2990295934
165	0.2986372414
166	0.2983209372
167	0.2974555673
168	0.2962258735
169	0.295587468
170	0.2947236128
171	0.2941109745
172	0.2936566293
173	0.2925486513
174	0.2919987192
175	0.2918318056
176	0.291423187
177	0.2907024305
178	0.2900138475
179	0.2890099433
180	0.2884100809
181	0.2877180979
182	0.2871489071
183	0.2867573941
184	0.2860539527
185	0.2854339943
186	0.2853233566
187	0.2851962271
188	0.2843019856
189	0.2837360985
190	0.2827077252
191	0.2820677864
192	0.2818295578
193	0.2811778676
194	0.2806718296
195	0.2801026959
196	0.2796228239
197	0.2783520881
198	0.2777832655
199	0.2769440228
200	0.2766978704
201	0.2759776547
202	0.2755579162
203	0.275315118
204	0.2749545226
205	0.2744410202
206	0.2734669381
207	0.2729156945
208	0.2724062698
209	0.2722876783
210	0.271792714
211	0.2715346874
212	0.271107674
213	0.2709223349
214	0.2704097301
215	0.2700672613
216	0.2699116414
217	0.2694130357
218	0.26910591
219	0.2683252198
220	0.2678677662
221	0.26774466
222	0.2671818054
223	0.2667168305
224	0.2662386182
225	0.2654688094
226	0.2646978697
227	0.2642696984
228	0.2638400574
229	0.2635141058
230	0.2632128694
231	0.2626693651
232	0.2623799781
233	0.2618180277
234	0.2616485391
235	0.2610894503
236	0.2605597204
237	0.2601182777
238	0.2597917631
239	0.2597093422
240	0.2592192263
241	0.2589254386
242	0.2584151311
243	0.2583722615
244	0.2581979076
245	0.2575953645
246	0.2573657774
247	0.2568887937
248	0.2563903747
249	0.2561625603
250	0.2555193847
251	0.2550697383
252	0.2548153301
253	0.2546427984
254	0.2545183016
255	0.2542636066
256	0.2536957267
257	0.25311337
258	0.2526374703
259	0.2526020817
260	0.2522504574
261	0.251939179
262	0.2517756098
263	0.2512266021
264	0.2509135421
265	0.250669781
266	0.2506011796
267	0.2501681018
268	0.2494284063
269	0.2492689185
270	0.2488939069
271	0.2481522082
272	0.2479920145
273	0.2477381114
274	0.2473243109
275	0.2469741374
276	0.2464102602
277	0.2463422784
278	0.2459323311
279	0.2457289755
280	0.2450663716
281	0.2448656193
282	0.2443616793
283	0.2441043537
284	0.2437127854
285	0.2433045883
286	0.2431664671
287	0.2428247784
288	0.2425708579
289	0.2420464665
290	0.2419153344
291	0.2413892142
292	0.2411328323
293	0.2409339371
294	0.2406279761
295	0.2401678196
296	0.2395959256
297	0.239041574
298	0.2387128114
299	0.2380208895
300	0.2376303903
301	0.237500312
302	0.2372620318
303	0.2369804917
304	0.2368678383
305	0.2365498492
306	0.2359721287
307	0.2356355194
308	0.2354707358
309	0.2351173185
310	0.2348017498
311	0.2342186841
312	0.2339882881
313	0.2336009221
314	0.2334390167
315	0.2333024191
316	0.2329926688
317	0.2327658431
318	0.232540662
319	0.2321426884
320	0.2313588528
321	0.2311693497
322	0.2310072949
323	0.230834149
324	0.2303272281
325	0.229930692
326	0.2297325528
327	0.2293370745
328	0.2291025456
329	0.2288744434
330	0.2287057189
331	0.2281062429
332	0.2279334608
333	0.2273943727
334	0.2270514127
335	0.2267009029
336	0.2265945457
337	0.2260724145
338	0.2258393451
339	0.2256416754
340	0.2250999695
341	0.2248873402
342	0.224190353
343	0.2240093265
344	0.2235838389
345	0.2230891329
346	0.2228309005
347	0.2227348782
348	0.2225044656
349	0.2222438466
350	0.2218774237
351	0.2216636847
352	0.2213926408
353	0.221248767
354	0.2206155861
355	0.2202639256
356	0.2195231319
357	0.2193213441
358	0.2190223437
359	0.2188346758
360	0.2187077951
361	0.2181380972
362	0.2180234339
363	0.2175964123
364	0.2174353517
365	0.2171583702
366	0.2168795881
367	0.2167461125
368	0.2161815381
369	0.2159399659
370	0.2155562885
371	0.2153327792
372	0.2151536622
373	0.2147644413
374	0.2145207675
375	0.2139302823
376	0.2138007778
377	0.2136320122
378	0.2133094741
379	0.2130054306
380	0.2127572833
381	0.2125926839
382	0.2120843436
383	0.2116812943
384	0.2111620413
385	0.2109789901
386	0.2106230153
387	0.2102590331
388	0.2099810072
389	0.2097069314
390	0.2095064438
391	0.2093340464
392	0.2091811571
393	0.2088237129
394	0.2086176384
395	0.2081555509
396	0.2079152464
397	0.2074699285
398	0.2072183973
399	0.2067691435
400	0.2065653849
401	0.2062408036
402	0.2059093711
403	0.2054658073
404	0.2052488883
405	0.20510608
406	0.2049767737
407	0.2045971198
408	0.204426661
409	0.2042024241
410	0.2038474284
411	0.2035709615
412	0.2032768066
413	0.20297237
414	0.2025940613
415	0.2024916262
416	0.2020438055
417	0.2016413954
418	0.2014455962
419	0.2013064115
420	0.201009773
421	0.2007601129
422	0.2006038027
423	0.2004055764
424	0.1999884806
425	0.1997359936
426	0.1995443075
427	0.199377762
428	0.1990848906
429	0.1986668288
430	0.1986150002
431	0.1983438469
432	0.1982383472
433	0.1978314982
434	0.1975580584
435	0.1972785019
436	0.1971310634
437	0.1968416613
438	0.1967519369
439	0.1966576028
440	0.1964489453
441	0.1962156836
442	0.1958979128
443	0.1956893048
444	0.1955126153
445	0.1949139579
446	0.1948055351
447	0.1946146868
448	0.194059917
449	0.1937403052
450	0.1936125074
451	0.1932624603
452	0.1930952752
453	0.1927121431
454	0.1925181126
455	0.1923928888
456	0.1920402567
457	0.1919593479
458	0.1917594784
459	0.1915782188
460	0.1913883739
461	0.1910396634
462	0.190981861
463	0.1907826212
464	0.1904689146
465	0.1901751219
466	0.1900002559
467	0.1898102438
468	0.1897406764
469	0.1896799204
470	0.189432819
471	0.1892331873
472	0.189099374
473	0.1886480489
474	0.1885098694
475	0.1884432772
476	0.1883417383
477	0.187974977
478	0.1876029034
479	0.1872094735
480	0.1869675597
481	0.1866633033
482	0.1865566508
483	0.1864986552
484	0.186150415
485	0.1856635153
486	0.1852747309
487	0.18503007
488	0.1849075676
489	0.1844536271
490	0.1840563262
491	0.1839025401
492	0.1836995237
493	0.1833545699
494	0.183138725
495	0.1830409837
496	0.182912039
497	0.1828879635
498	0.1828579406
499	0.1827627726
500	0.1823476447
501	0.1822577171
502	0.1820242681
503	0.1819186088
504	0.1818231225
505	0.1814313905
506	0.1812285153
507	0.1809875972
508	0.1807142984
509	0.1804788722
510	0.1804315172
511	0.1802492763
512	0.179981769
513	0.1797637785
514	0.1795550339
515	0.1794642178
516	0.1793854625
517	0.1793746971
518	0.1791012032
519	0.1788548068
520	0.1787611807
521	0.1785042745
522	0.1782922959
523	0.177986974
524	0.1778565642
525	0.1777135058
526	0.177631693
527	0.1773050971
528	0.1772824574
529	0.1770220436
530	0.1765859823
531	0.1764362801
532	0.176375211
533	0.1760573358
534	0.1757312088
535	0.1755780038
536	0.1754936548
537	0.1751896524
538	0.1747305019
539	0.1743966393
540	0.1740619474
541	0.1735317501
542	0.173151826
543	0.1729778405
544	0.1727974434
545	0.1724879506
546	0.1721927694
547	0.1715976054
548	0.1714345092
549	0.1710583835
550	0.1709409572
551	0.1707018525
552	0.1703833564
553	0.1699927041
554	0.169690949
555	0.1693921155
556	0.1691353373
557	0.1689486035
558	0.1687137486
559	0.1685386376
560	0.168151617
561	0.1680139849
562	0.1676312171
563	0.1674912721
564	0.1673481807
565	0.1670539646
566	0.1667868676
567	0.1666483758
568	0.1663325923
569	0.1661530367
570	0.1659469848
571	0.1657428966
572	0.1656133468
573	0.1654139906
574	0.1653320454
575	0.1650051498
576	0.1648870453
577	0.1647165429
578	0.1644686147
579	0.1642682678
580	0.1639563526
581	0.1636924292
582	0.1633221971
583	0.1631502342
584	0.163010398
585	0.162847321
586	0.1626558465
587	0.1622985524
588	0.162052547
589	0.1619171107
590	0.1616018858
591	0.1615123199
592	0.1612371924
593	0.1610046428
594	0.1607921723
595	0.1604326305
596	0.1601042897
597	0.1599239637
598	0.1597285671
599	0.1593865998
600	0.1591724064
601	0.1590646989
602	0.1588872672
603	0.1585944538
604	0.1584044782
605	0.1581068765
606	0.1578543129
607	0.1575866965
608	0.1572920051
609	0.1569275735
610	0.1566874781
611	0.1562754787
612	0.1561684504
613	0.1557985196
614	0.1557373644
615	0.1555848479
616	0.1554744508
617	0.1552350546
618	0.1550760217
619	0.154674447
620	0.1543794636
621	0.1539020566
622	0.153775832
623	0.1535305506
624	0.1532154871
625	0.1528532573
626	0.1526349608
627	0.1524138359
628	0.1523013675
629	0.1520772242
630	0.151790683
631	0.1515339741
632	0.1512226228
633	0.1508494931
634	0.1507724208
635	0.1503928208
636	0.1501119243
637	0.1499083842
638	0.149776077
639	0.1495386572
640	0.1491789405
641	0.1488578105
642	0.1486165671
643	0.1484873178
644	0.1481840549
645	0.1479751094
646	0.1477585542
647	0.1475004403
648	0.1472499691
649	0.1471058862
650	0.1468155279
651	0.1466079681
652	0.1464810795
653	0.1462600212
654	0.1461912574
655	0.1459931283
656	0.1457540794
657	0.1454805522
658	0.1453342467
659	0.1451793832
660	0.1450679899
661	0.1448861423
662	0.1444712242
663	0.1442701346
664	0.1440979384
665	0.1439398822
666	0.1437545603
667	0.1431501956
668	0.1430705204
669	0.1427856009
670	0.1426745171
671	0.1425291041
672	0.1422770957
673	0.1421534714
674	0.1420788406
675	0.1418521199
676	0.1415469282
677	0.1414393157
678	0.1412010946
679	0.1410103245
680	0.1408092466
681	0.1406004427
682	0.1402532161
683	0.1399644593
684	0.1398070807
685	0.1395094604
686	0.1392008483
687	0.1388694669
688	0.1385615596
689	0.1383574097
690	0.1379894673
691	0.1375809472
692	0.1373676209
693	0.1371888048
694	0.1369742626
695	0.1368426537
696	0.1367012565
697	0.1365391124
698	0.1363165602
699	0.1361392827
700	0.1358891698
701	0.1357885193
702	0.1355326399
703	0.1353729454
704	0.1352728366
705	0.1351229487
706	0.1350079322
707	0.1348433341
708	0.1346701188
709	0.134300441
710	0.134111286
711	0.134043231
712	0.1337697047
713	0.1337003371
714	0.1335008328
715	0.1332423608
716	0.1330095528
717	0.1329221303
718	0.1326151508
719	0.1324935756
720	0.1323853979
721	0.1320181419
722	0.1317951115
723	0.1317023617
724	0.1315168396
725	0.131442661
726	0.1313497681
727	0.1311093805
728	0.1308331466
729	0.1307141036
730	0.1303407201
731	0.1302365136
732	0.1300139081
733	0.12988349
734	0.1296986903
735	0.1293863846
736	0.1291997904
737	0.1289289624
738	0.1285892964
739	0.1284438827
740	0.1282270726
741	0.1281381505
742	0.1278982904
743	0.1278271558
744	0.1276397635
745	0.1274557425
746	0.1273001392
747	0.1271801366
748	0.1269888112
749	0.1267289201
750	0.1265121673
751	0.126289646
752	0.1261046695
753	0.1259473731
754	0.1257725513
755	0.125561806
756	0.1254454788
757	0.1252937117
758	0.1251510502
759	0.1250008032
760	0.1246853371
761	0.1245490833
762	0.1244597645
763	0.1242518988
764	0.1238799407
765	0.1237170427
766	0.1234410276
767	0.1233492819
768	0.1230511632
769	0.1228704145
770	0.1226463397
771	0.1224035879
772	0.1222051524
773	0.1220039842
774	0.1217924409
775	0.1215857152
776	0.1214029168
777	0.1212056854
778	0.1209722017
779	0.120674056
780	0.1204753622
781	0.1203858838
782	0.1201865307
783	0.1200118273
784	0.1198277712
785	0.1197205769
786	0.1195562031
787	0.1194180474
788	0.1192897594
789	0.1191524649
790	0.118922971
791	0.1187761227
792	0.118554018
793	0.1184253405
794	0.1182207163
795	0.1180701486
796	0.1178484046
797	0.1176819184
798	0.117489166
799	0.1172395063
800	0.1170241892
801	0.116843777
802	0.1167354612
803	0.1165653955
804	0.1162532215
805	0.1159789883
806	0.1156810435
807	0.1155020192
808	0.1153636832
809	0.1151742945
810	0.1150163266
811	0.1149358481
812	0.1147708556
813	0.1146375721
814	0.1145041509
815	0.1141856059
816	0.1141109524
817	0.1140311831
818	0.1138599101
819	0.1135487312
820	0.1133355451
821	0.1130922469
822	0.1129893933
823	0.1128303476
824	0.1127491315
825	0.1125422571
826	0.1123977879
827	0.1122129191
828	0.112044594
829	0.1118778503
830	0.1116318793
831	0.1114868213
832	0.1113954875
833	0.1111924719
834	0.1110339665
835	0.1109329393
836	0.110856929
837	0.1107033892
838	0.1104939986
839	0.1103499476
840	0.110155308
841	0.1100795139
842	0.1099482135
843	0.109854155
844	0.1097847628
845	0.1096105683
846	0.1094378224
847	0.1093406918
848	0.1091741238
849	0.1089673912
850	0.1088299661
851	0.1086301338
852	0.1084182425
853	0.1082285265
854	0.1081463713
855	0.1079961102
856	0.1077980807
857	0.107718932
858	0.107571743
859	0.1074499144
860	0.1072466778
861	0.1070889535
862	0.1069849558
863	0.1068817998
864	0.1067360042
865	0.1065864732
866	0.1064764099
867	0.106379516
868	0.1061916952
869	0.1060171682
870	0.1059600603
871	0.1058884838
872	0.1056996436
873	0.1055824179
874	0.1053691929
875	0.105181929
876	0.105067141
877	0.1047815925
878	0.1046236539
879	0.1043484414
880	0.1041866191
881	0.1040786197
882	0.10392148
883	0.103816576
884	0.1036777983
885	0.1035397964
886	0.1032878429
887	0.1031705199
888	0.1029143112
889	0.1026374422
890	0.1024908708
891	0.1023673812
892	0.1021847436
893	0.1020690034
894	0.1018397588
895	0.1016544091
896	0.1015198286
897	0.1013776882
898	0.1011272569
899	0.1009713826
900	0.100794827
901	0.1006315949
902	0.1004985442
903	0.100307102
904	0.1001483362
905	0.09993114837
906	0.0998374762
907	0.09969307765
908	0.09955180346
909	0.09944058037
910	0.09931158846
911	0.09918459107
912	0.09904303156
913	0.09894148954
914	0.09887784544
915	0.09869642247
916	0.09855521063
917	0.09834531167
918	0.09819785759
919	0.09802336135
920	0.09782985046
921	0.09778024017
922	0.09763917468
923	0.09758442384
924	0.09744001464
925	0.09723788347
926	0.09717905758
927	0.09703273567
928	0.09688480022
929	0.09674723343
930	0.09657621008
931	0.0964839453
932	0.096339951
933	0.09623321974
934	0.0960308581
935	0.09586253974
936	0.09573709622
937	0.09557470321
938	0.09541750297
939	0.09530357034
940	0.09520078387
941	0.0949487335
942	0.09479264157
943	0.09466869953
944	0.09451575725
945	0.09434780527
946	0.09423807138
947	0.09418784612
948	0.09403691911
949	0.09397596406
950	0.09378826279
951	0.09364632328
952	0.09354776294
953	0.09342273631
954	0.09333767932
955	0.09318136991
956	0.09299725542
957	0.09292181087
958	0.09282709412
959	0.09270553699
960	0.09261248076
961	0.09242839081
962	0.09228610341
963	0.09218005489
964	0.09206459969
965	0.09201206981
966	0.09194092045
967	0.09179228387
968	0.09173342
969	0.09158169486
970	0.09140295823
971	0.0912070154
972	0.09106894736
973	0.09098272862
974	0.09087927296
975	0.09065382912
976	0.09047898666
977	0.09036518199
978	0.09019477188
979	0.09006658674
980	0.08989991441
981	0.08976423642
982	0.08969502398
983	0.08955031009
984	0.08943816857
985	0.0892783548
986	0.08917811983
987	0.08911917349
988	0.08897878668
989	0.08877488754
990	0.08866737881
991	0.08850434524
992	0.08846486031
993	0.08833635547
994	0.08828990947
995	0.08824416988
996	0.08813480598
997	0.08799333628
998	0.0879473689
999	0.08773820148
